"Pop_Code","standard","actual","fruit.inf.Length","aborted.inf.length","flower.inf.length","bud.inf.Length","Location","Date","Latitude","Longitude","yday","Year","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns","flower.cm","bud.cm","fruit.cm","a.flower.cm","infl.cm","phind"
"CHRB0001057-2",1144.175,10,0,0,615.546,218.55,"39.92678 -75.13045","1866-07-29",39.92678,-75.13045,210,1866,198,110,2354.05,1346.5,12.0104591836735,29.4105103973408,-0.0206485521670225,-0.561753858312459,1,5.37982389057618,1.91010990451635,0,0,7.28993379509253,0.262020199113771
"CHRB0001057",1144.175,10,633.057,0,501.891,396.095,"39.92678 -75.13045","1870-09-09",39.92678,-75.13045,252,1870,219,157,2684.2,2173.75,12.4268518518519,33.9057272112295,-0.153669892893526,-0.853802392067337,1,4.38648808093168,3.46183931653812,5.53286866082549,0,13.3811960582953,-0.154771616473215
"MU-V-000195927",1164.557,10,661.037,0,382.649,220.465,"Conway, New Hampshire","1875-08-15",43.981703,-71.12704,227,1875,162,91,1505.44797927738,1020.91789310833,9.52815176757834,22.8262639857393,-0.380559438716196,-0.988170332363802,2,3.28579021894162,1.89312330783294,5.67629579316427,0,10.8552093199388,-0.348512163499455
"3009004",478.009,10,302.563,0,217.387,187.712,"41.17959 -73.895939 Croton Point NY","1875-08-13",41.17959,-73.895939,225,1875,185,107,2351,1551.8,12.7771739130435,31.5332925969448,-0.408071930679313,-0.899709967922698,1,4.54775956101245,3.92695535021307,6.3296506969534,0,14.8043656081789,-0.16229640704178
"365690",1888.004,10,1380.026,0,1017.366,904.728,"Ashland Mass","1876-07-22",42.27269,-71.447461,204,1876,157,82,1734.35,982.2,11.1893548387097,28.2015919457571,-0.029672500717642,-0.999241190425753,1,5.38857968521253,4.79198137292082,7.30944425965199,0,17.4900053177853,-0.143937228204911
"1189114",1170,10,2838.228,0,234.195,0,"Ashland Mass. ","1877-08-17",42.260534,-71.471301,229,1877,148,99,1752,1204.8,11.8378378378378,12.4896493791088,-0.624984393592793,-0.421166083848784,1,2.00166666666667,0,24.258358974359,0,26.2600256410256,-0.923775144242834
"3008995",478.004,10,859.43,0,13.906,54.12,"Flushing, Long Island =, New York","1878-08-30",40.768414,-73.839414,242,1878,207,148,2275.67159896723,1690.1747973285,10.9935826037064,29.4574219779544,-0.0971494566125409,-0.993400196117489,3,0.290918067631233,1.132208098677,17.9795566564297,0,19.4026828227379,-0.868299951695822
"365685",1896.002,10,5408.116,0,0,0,"Ashland Mass","1878-08-21",42.27269,-71.447461,233,1878,199,131,1835.8,1292.55,9.36632653061224,23.2281294226233,0.0929999628979705,-0.711043021619273,1,0,0,28.5237884770164,0,28.5237884770164,-1
"919016018",614.72,5,155.05,0,402.58,0,NA,NA,42.34,-71.05,224,1878,199,122,1835.8,1170.65,9.36632653061224,23.2281294226233,0.0929999628979706,-0.711043021619273,1,3.27449895887559,0,1.26114328474753,0,4.53564224362311,-0.278051754747772
"919031183",610.12,5,2016.09,0,247.09,497.06,NA,NA,42.36,-71.06,194,1880,182,84,1840.8,852.95,10.1701657458564,22.8670543682837,-0.169791944838458,-0.719467128919089,1,2.02492952206123,4.07346095849997,16.522077624074,0,22.6204681046352,-0.550325334028925
"919016192",616.01,5,0,0,252.25,290.96,NA,NA,42.38,-71.06,204,1881,157,84,1690.85,801.05,10.7697452229299,17.7472534382734,-0.333915159456203,-0.085496172510938,1,2.04745052840051,2.36164997321472,0,0,4.40910050161523,0.535630787356639
"919011611",614.05,5,1487.45,0,671.84,0,NA,NA,42.73,-70.99,203,1882,151,60,1601.00317421111,644.04202347713,10.6026700278881,19.6494885814051,-0.179952355323994,-0.730016308198072,2,5.4705642862959,0,12.1117987134598,0,17.5823629997557,-0.688860690319503
"919023210",612.05,5,519.536,2139.764,555.401,178.572,NA,NA,42.64,-71.38,222,1882,151,79,1604.2,949.8,10.6238410596026,20.9617163720889,-0.201995895590211,-0.732019930362259,1,4.53721918143942,1.45880238542603,4.24422841271138,17.4803038967405,27.7205538763173,-0.731072330460885
"3009077",479.004,10,0,0,267.438,152.69,"Easton, Conneticut","1883-06-20",41.271227,-73.295744,171,1883,156,51,1762.86512961339,492.41175617766,11.3004174975217,18.9277650571307,-0.226246131995067,-0.587192708968773,3,5.58321016108425,3.18765605297659,0,0,8.77086621406084,0.363436857338716
"919009190",612.05,5,872.15,0,668.04,401.31,NA,NA,44.05368,-71.128404,199,1883,154,79,1487.70191420991,759.409538758845,9.66040204032407,15.7683039774602,-0.326359734048867,-0.589979526033444,2,5.45739727146475,3.27840862674618,7.12482640307165,0,15.8606323012826,-0.24251352047386
"OSU_61842",1230,10,0,0,1560.216,0,"Ile Bouchard, Quebec","1884/08/14",45.798548,-73.355309,227,1884,137,89,1416.54479684586,933.505656241675,10.6507127582396,15.3548284589748,-0.148112705348234,-0.229695025316982,2,12.6846829268293,0,0,0,12.6846829268293,0
"3009079",480.004,10,0,0,759.406,464.27,"Ashland Mass","1884-07-02",42.257505,-71.453827,184,1884,144,46,1476.6,468.15,10.3985915492958,16.8154494327074,-0.391056072363204,-0.449094972695136,4,15.8208264931126,9.67221106490779,0,0,25.4930375580203,0.379405986551996
"919016573",614.7,5,0,0,1393.13,1227.58,NA,NA,42.26,-71.46,185,1884,144,47,1476.6,483.45,10.3985915492958,16.8154494327074,-0.391056072363204,-0.449094972695136,4,11.3317878639987,9.98519603058402,0,0,21.3169838945827,0.46841504783055
"366280",1893,10,0,0,1583.173,1337.803,"Rondout, NY","1885/08/01",41.919371,-73.986168,213,1885,146,81,1383.53858304178,858.901249538853,9.47629166466976,16.7377122774564,-0.0349978902716976,-0.785189842279797,5,8.36330163761226,7.06710512414157,0,0,15.4304067617538,0.457998627855895
"919028560",612.05,5,432.56,0,1067.87,230.06,NA,NA,42.26,-71.46,209,1886,182,103,1652.25752989925,919.109667015888,9.12849464032733,19.6195808358936,-0.0984068572844313,-0.639277293051563,20,8.72371538273017,1.87942161588106,3.53369822726901,0,14.1368352258802,-0.117018879045819
"1189113",1169.002,10,157.305,0,664.66,285.523,"Byron, Ontario","1890-08-15",42.953265,-81.333464,227,1890,149,86,1306.33144819601,944.497415501399,8.7673251556779,19.9646133550213,-0.0830444349728761,-0.834744627932796,13,5.68570455824712,2.44245091111906,1.34563499463645,0,9.47379046400263,0.115773714929643
